0	3.649173e+04
>	186
>	187
0	4.631870e+04
>	188
>	189
>	190
>	191
0	2.612865e+04
>	192
0	9.620441e+03
>	193
0	1.197663e+06
>	194
0	9.766683e+03
>	195
0	1.966359e+05
>	196
0	9.254225e+03
>	197
0	2.194230e+05
>	198
0	1.153584e+04
>	199
0	9.484803e+03
>	200
0	2.286744e+04
>	201
0	1.078192e+04
>	202
0	4.047113e+05
>	203
0	8.608958e+04
>	204
0	6.777849e+04
>	205
0	4.022086e+03
>	206
0	2.102834e+03
>	207
0	1.168835e+04
>	208
0	1.112975e+03
>	209
0	8.006238e+03
>	210
0	1.595874e+04
>	211
0	5.294413e+04
>	212
0	1.540251e+04
>	213
0	3.441069e+03
>	214
0	3.440227e+05
>	215
0	5.953778e+04
>	216
0	9.308048e+04
>	217
0	2.376265e+03
>	218
0	4.154809e+03
>	219
0	3.610265e+05
>	220
0	7.276846e+04
>	221
0	9.204952e+04
>	222
0	2.897947e+03
>	223
0	2.349526e+03
>	224
0	1.225471e+04
>	225
0	1.996028e+04
>	226
0	1.838875e+03
>	227
0	6.295713e+03
>	228
0	1.318645e+05
>	229
0	3.111583e+04
>	230
0	3.816799e+04
>	231
0	1.142411e+04
>	232
0	1.086366e+04
>	233
0	1.503768e+03
>	234
0	3.979976e+03
>	235
0	1.360337e+05
>	236
0	1.041163e+04
>	237
0	2.160398e+04
>	238
0	2.731747e+03
>	239
0	1.066421e+04
>	240
0	9.128171e+03
>	241
>	242
0	7.348229e+03
>	243
0	4.252850e+03
>	244
0	7.610510e+04
>	245
0	2.463089e+04
>	246
0	1.703248e+04
>	247
0	5.394411e+03
>	248
0	6.965483e+04
>	249
0	1.292724e+04
>	250
0	2.330000e+04
>	251
0	8.100132e+03
>	252
0	1.356203e+05
>	253
0	4.662301e+04
>	254
0	5.890252e+04
>	255
0	9.448737e+04
>	256
0	2.716116e+04
>	257
0	3.525764e+04
>	258
0	5.171081e+04
>	259
0	8.155502e+03
>	260
0	3.293922e+04
>	261
>	262
0	6.753027e+03
>	263
0	3.410736e+04
>	264
>	265
0	6.087098e+04
>	266
0	5.197933e+05
>	267
0	8.578587e+04
>	268
0	8.503112e+04
>	269
0	3.323762e+03
>	270
0	9.139826e+03
>	271
0	4.651394e+03
>	272
0	2.650432e+02
>	273
0	1.095820e+04
>	274
0	5.881189e+03
>	275
0	5.942876e+03
>	276
0	3.760677e+03
>	277
0	2.006536e+04
>	278
>	279
0	6.144940e+02
>	280
0	1.105978e+06
>	281
0	1.219069e+05
>	282
0	5.630349e+03
>	283
0	9.890271e+04
>	284
0	8.076097e+04
>	285
0	2.009971e+04
>	286
0	4.654231e+03
>	287
0	1.633981e+04
>	288
0	3.498400e+03
>	289
0	5.692320e+03
>	290
0	4.857745e+04
>	291
>	292
>	293
>	294
>	295
0	3.381869e+04
>	296
0	1.431413e+03
>	297
>	298
0	4.150109e+03
>	299
>	300
>	301
0	7.832084e+04
>	302
0	4.241127e+03
>	303
0	7.046991e-01
>	304
0	2.375189e+04
>	305
0	1.998788e+03
>	306
0	5.235982e+04
>	307
0	1.214162e+05
>	308
0	4.142602e+03
>	309
0	5.318304e+03
>	310
0	1.977662e+04
>	311
0	6.871485e+03
>	312
0	1.768914e+04
>	313
0	2.580396e+04
>	314
0	1.145897e+04
>	315
0	3.361263e+04
>	316
0	1.732588e+03
>	317
0	1.176886e+04
>	318
0	1.370917e+04
>	319
>	320
0	1.613012e+04
>	321
0	8.948170e+02
>	322
0	2.791260e+04
>	323
0	2.155013e+05
>	324
0	5.269545e+04
>	325
0	5.303025e+03
>	326
0	1.228506e+04
>	327
0	3.490423e+04
>	328
>	329
0	3.913063e+04
>	330
>	331
>	332
>	333
0	4.178582e+03
>	334
0	3.403562e+04
>	335
>	336
0	7.954134e+03
>	337
0	1.165284e+06
>	338
0	9.146259e+03
>	339
0	2.099028e+05
>	340
0	4.725461e+03
>	341
0	2.243858e+05
>	342
