t	min m/z	max m/z	charge
22	698.242110522	698.250489478	1
22	698.252010463	698.260389537	1
22	698.261910403	698.270289597	1
22	698.271810344	698.280189656	1
22	698.281710285	698.290089715	1
22	698.291610225	698.299989775	1
22	698.301510166	698.309889834	1
22	698.311410106	698.319789894	1
22	699.194004811	699.202395189	1
22	699.203904751	699.212295249	1
22	699.213904691	699.222295309	1
22	699.233704573	699.242095427	1
22	699.243604513	699.251995487	1
22	699.253604453	699.261995547	1
22	742.108747321	742.117652679	1
22	742.119547256	742.128452744	1
22	742.130447191	742.139352809	1
22	742.141247126	742.150152874	1
22	742.15214706	742.16105294	1
22	742.162946996	742.171853004	1
22	742.17384693	742.18275307	1
22	742.184646865	742.193553135	1
22	742.1955468	742.2044532	1
22	742.206446735	742.215353265	1
22	742.21724667	742.22615333	1
22	742.228146604	742.237053396	1
22	742.23894654	742.24785346	1
22	742.249846474	742.258753526	1
22	742.260646409	742.269553591	1
22	742.271546344	742.280453656	1
22	743.108241324	743.117158676	1
22	743.119141258	743.128058742	1
22	743.130041193	743.138958807	1
22	743.140941128	743.149858872	1
22	743.151741063	743.160658937	1
22	743.162640997	743.171559003	1
22	743.173540932	743.182459068	1
22	743.184440867	743.193359133	1
22	743.195340801	743.204259199	1
22	743.206140736	743.215059264	1
22	743.217040671	743.225959329	1
22	743.227940606	743.236859394	1
22	743.23884054	743.24775946	1
22	743.249740475	743.258659525	1
22	743.26054041	743.26945959	1
22	758.291250225	758.300349775	1
22	758.302450158	758.311549842	1
22	759.132745176	759.141854824	1
22	759.144045108	759.153154892	1
22	759.155245041	759.164354959	1
22	759.166444974	759.175555026	1
22	759.177744906	759.186855094	1
22	759.188944839	759.198055161	1
22	759.200144772	759.209255228	1
22	759.211444704	759.220555296	1
22	759.222644637	759.231755363	1
22	759.23384457	759.24295543	1
22	759.245144502	759.254255498	1
22	759.256344435	759.265455565	1
22	759.267544367	759.276655633	1
22	759.2787443	759.2878557	1
22	759.290044232	759.299155768	1
22	759.301244165	759.310355835	1
22	760.144439106	760.153560894	1
22	760.155739038	760.164860962	1
22	760.166938971	760.176061029	1
22	760.178238903	760.187361097	1
22	760.189438836	760.198561164	1
22	760.200738768	760.209861232	1
22	760.211938701	760.221061299	1
22	760.223238633	760.232361367	1
22	760.234538565	760.243661435	1
22	760.245738498	760.254861502	1
22	760.25703843	760.26616157	1
22	760.268238363	760.277361637	1
22	760.279538295	760.288661705	1
22	760.290738228	760.299861772	1
22	815.122209237	815.131990763	1
22	815.134709162	815.144490838	1
22	815.147209087	815.156990913	1
22	815.159709012	815.169490988	1
22	815.172208937	815.181991063	1
22	815.184708862	815.194491138	1
22	815.197208787	815.206991213	1
22	815.209708712	815.219491288	1
22	815.222208637	815.231991363	1
22	815.234708562	815.244491438	1
22	815.247208487	815.256991513	1
22	815.259708412	815.269491588	1
22	815.272208337	815.281991663	1
22	815.284708262	815.294491738	1
22	815.297208187	815.306991813	1
22	816.122703234	816.132496766	1
22	816.135203159	816.144996841	1
22	816.147803084	816.157596916	1
22	816.160303009	816.170096991	1
22	816.172802934	816.182597066	1
22	816.185302859	816.195097141	1
22	816.197802784	816.207597216	1
22	816.210402708	816.220197292	1
22	816.222902633	816.232697367	1
22	816.235402558	816.245197442	1
22	816.247902483	816.257697517	1
22	816.260402408	816.270197592	1
22	816.273002333	816.282797667	1
22	816.285502258	816.295297742	1
22	817.237896543	817.247703457	2
22	817.12509722	817.13490278	1
22	817.137597145	817.147402855	1
22	817.15009707	817.15990293	1
22	817.162696994	817.172503006	1
22	817.175196919	817.185003081	1
22	817.187796844	817.197603156	1
22	817.200296769	817.210103231	1
22	817.212896693	817.222703307	1
22	817.225396618	817.235203382	1
22	817.237896543	817.247703457	1
22	817.262996393	817.272803607	1
22	817.275596317	817.285403683	1
22	817.739893531	817.749706469	2
22	832.152307056	832.162292944	1
22	832.165206979	832.175193021	1
22	832.178106901	832.188093099	1
22	832.190906825	832.200893175	1
22	832.203806747	832.213793253	1
22	832.21670667	832.22669333	1
22	832.229606592	832.239593408	1
22	832.242506515	832.252493485	1
22	832.255406438	832.265393562	1
22	832.26830636	832.27829364	1
22	832.281206283	832.291193717	1
22	832.294106205	832.304093795	1
22	832.307006128	832.316993872	1
22	833.158501019	833.168498981	1
23	355.027969819	355.032230181	1
23	356.032163794	356.036436206	1
23	357.033357787	357.037642213	1
23	358.035151776	358.039448224	1
23	358.118751275	358.123048725	1
23	358.997246004	359.001553996	1
23	360.000039987	360.004360013	1
23	360.999633989	361.003966011	1
23	362.081027501	362.085372499	1
23	366.105503354	366.109896646	1
23	367.107997339	367.112402661	1
23	368.087991459	368.092408541	1
23	369.094885417	369.099314583	1
23	370.098179398	370.102620602	1
23	371.028773814	371.033226186	4
23	371.051873675	371.056326325	1
23	371.278372316	371.282827684	1
23	372.055467654	372.059932346	4
23	372.055467654	372.059932346	1
23	372.290566243	372.295033757	1
23	373.055361654	373.059838346	4
23	373.055361654	373.059838346	1
23	374.055455654	374.059944346	1
23	375.059549629	375.064050371	1
23	381.050213685	381.054786315	1
23	382.050607683	382.055192317	1
23	383.155601053	383.160198947	1
23	383.824897037	383.829502963	3
23	383.828897013	383.833502987	1
23	384.164195001	384.168804999	3
23	384.160195025	384.164804975	1
23	384.499992986	384.504607014	3
23	384.832190993	384.836809007	3
23	385.120089266	385.124710734	1
23	388.156871045	388.161528955	1
23	389.115265294	389.119934706	1
23	391.175752931	391.180447069	1
23	391.246352508	391.251047492	1
23	392.253746463	392.258453537	1
23	393.051641676	393.056358324	4
23	393.055841651	393.060558349	1
23	393.265140395	393.269859605	1
23	394.057535641	394.062264359	4
23	394.095335414	394.100064586	1
23	395.096929404	395.101670596	1
23	396.051523677	396.056276323	1
23	399.308804133	399.313595867	1
23	400.317398081	400.322201919	1
23	402.198986792	402.203813208	1
23	404.119975266	404.124824734	1
23	409.076345527	409.081254473	1
23	413.230020605	413.234979395	1
23	414.99910999	415.00409001	1
23	419.280384303	419.285415697	1
23	420.28247829	420.28752171	1
23	421.292772228	421.297827772	1
23	428.848826892	428.853973108	4
23	429.039525747	429.044674253	1
23	430.043319725	430.048480275	1
23	430.84401492	430.84918508	4
23	430.853614863	430.858785137	1
23	431.04571371	431.05088629	1
23	431.858908831	431.864091169	4
23	431.858908831	431.864091169	1
23	432.046907703	432.052092297	1
23	432.843502923	432.848697077	4
23	440.753855461	440.759144539	2
23	445.057529639	445.062870361	1
23	445.895524611	445.900875389	4
