  169552.17   198478.29  7093162.53   264039.05          NA          NA          NA          NA          NA   745823.40  4412230.18          NA          NA          NA          NA          NA  6607093.70          NA  6607093.70          NA          NA          NA          NA          NA   405194.74   906137.48   718410.79          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA
  152816.72          NA 11037042.05   347404.42          NA          NA          NA          NA          NA   681541.20  4592730.63          NA          NA          NA          NA          NA  4082341.42          NA  4082341.42          NA          NA          NA          NA          NA   369942.73   648938.64   554883.94          NA          NA          NA          NA          NA   383444.73   445458.55          NA          NA          NA          NA          NA          NA          NA          NA          NA
         NA          NA 12637141.74   420422.61          NA          NA          NA          NA          NA  3291594.78  3369356.38          NA          NA          NA          NA          NA          NA  2739495.61          NA          NA          NA          NA          NA          NA          NA   873797.69   709603.37          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA
         NA          NA 11075026.76   490949.05          NA          NA          NA          NA          NA          NA  3226593.33          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA  1091686.98   742929.86          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA
         NA          NA  7829836.90   503352.42          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA   146722.81          NA          NA   883994.75  1108720.39          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA
         NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA   239774.98          NA          NA          NA  1192240.92          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA
         NA          NA          NA          NA          NA          NA          NA          NA          NA  2611335.60          NA          NA          NA          NA          NA          NA          NA  1229062.61          NA          NA          NA          NA   595324.92          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA
         NA          NA          NA          NA          NA          NA          NA          NA          NA  1006013.30  2273182.39          NA          NA          NA          NA          NA          NA  1353326.79          NA          NA          NA          NA   829027.39          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA  1125164.95          NA          NA          NA          NA          NA          NA          NA          NA
         NA          NA   205801.51          NA          NA          NA          NA          NA          NA   708443.05  1779710.25          NA          NA          NA          NA          NA          NA   878777.57          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA  1037294.40          NA          NA          NA          NA          NA          NA          NA          NA
         NA          NA          NA          NA          NA          NA          NA          NA          NA   545296.20  1971135.82          NA          NA          NA          NA          NA          NA  1004528.47          NA          NA          NA          NA          NA          NA          NA   486895.22          NA          NA          NA          NA          NA   307100.26   183101.36          NA  1154944.45          NA          NA          NA          NA          NA          NA          NA          NA
         NA          NA          NA          NA          NA          NA          NA          NA          NA          NA  2453793.75          NA          NA          NA          NA          NA          NA   841961.70          NA          NA          NA          NA  1996453.17          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA
         NA          NA          NA          NA          NA          NA          NA          NA          NA   352037.01  2788006.87          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA  1901706.54          NA          NA          NA          NA          NA   415855.16   977696.83   435312.48          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA
         NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA   668102.70          NA          NA          NA          NA   614696.17   602062.82          NA  1244358.90          NA          NA          NA          NA          NA  2078552.40  3227103.75  1337014.85          NA          NA          NA   907938.84          NA          NA          NA          NA          NA          NA          NA          NA
         NA          NA          NA          NA          NA          NA          NA  4526199.03  3572906.74          NA          NA          NA          NA          NA  1328879.94          NA          NA          NA          NA  1715390.76   834616.15          NA          NA          NA          NA          NA          NA          NA  4611892.73  6671551.56  1906706.14          NA          NA          NA   687736.72          NA          NA          NA          NA          NA          NA          NA          NA
         NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA          NA  2052602.59          NA          NA          NA          NA  2756604.25  2355949.21          NA          NA          NA          NA          NA          NA          NA  5129875.46  7708892.96  2870135.12          NA          NA          NA   819119.85          NA          NA          NA          NA  3261558.58 14376774.61  5998937.09          NA
         NA          NA          NA          NA          NA          NA          NA  5245125.08  4044099.77          NA          NA          NA          NA          NA  2502524.12          NA          NA          NA          NA  4324495.10  2076531.05          NA          NA          NA          NA          NA          NA          NA  3137550.60  4818608.55  1757648.44          NA          NA          NA   804965.51          NA          NA          NA          NA  4903822.42 13526326.77  4654282.46          NA
         NA          NA          NA          NA          NA          NA          NA  4487555.83  4132583.63          NA          NA          NA          NA          NA  2321715.98          NA          NA          NA          NA  3826773.90  1943182.48          NA          NA          NA          NA          NA          NA          NA   486334.37  1130468.15   819545.91          NA          NA          NA   484118.01          NA          NA          NA          NA          NA  8224428.80  2497787.50          NA
