scan,minmz,maxmz,charge
0,480.925114432,480.930885568,1
0,481.281312295,481.287087705,2
0,481.281312295,481.287087705,1
0,481.593410422,481.599189578,3
0,481.593410422,481.599189578,1
0,481.782909285,481.788690715,2
0,487.622174249,487.628025751,4
0,487.622174249,487.628025751,2
0,487.874972733,487.880827267,4
0,489.282964285,489.288835715,2
0,490.250258481,490.256141519,3
0,491.248052494,491.253947506,1
0,491.915948487,491.921851513,3
0,492.591044436,492.596955564,3
0,492.925542429,492.931457571,3
0,495.513126903,495.519073097,4
0,495.513126903,495.519073097,2
0,495.763825399,495.769774601,4
0,500.957294238,500.963305762,3
0,500.957294238,500.963305762,1
0,501.289792243,501.295807757,3
0,501.625190231,501.631209769,3
0,502.22858661,502.23461339,3
0,503.301680172,503.307719828,1
0,508.24085053699997,508.246949463,3
0,508.572348548,508.578451452,3
0,508.612148309,508.618251691,3
0,508.612148309,508.618251691,2
0,508.780047301,508.786152699,3
0,510.623736239,510.629863761,3
0,510.623736239,510.629863761,1
0,510.957934234,510.964065766,3
0,511.101333374,511.107466626,1
0,511.291732231,511.297867769,3
0,512.791823231,512.797976769,2
0,512.791823231,512.797976769,1
0,513.293420221,513.299579779,2
0,515.770505358,515.776694642,4
0,515.770505358,515.776694642,2
0,515.770505358,515.776694642,1
0,516.020803857,516.026996143,4
0,516.020803857,516.026996143,2
0,516.020803857,516.026996143,1
0,516.271002355,516.277197645,4
0,516.271002355,516.277197645,2
0,516.271002355,516.277197645,1
0,516.522400847,516.528599153,4
0,516.522400847,516.528599153,2
0,516.77189935,516.77810065,4
0,516.77189935,516.77810065,2
0,517.023297842,517.029502158,4
0,520.327578016,520.333821984,1
0,520.952174268,520.958425732,3
0,522.594564414,522.600835586,3
0,522.594564414,522.600835586,2
0,522.758963427,522.765236573,3
0,522.758963427,522.765236573,2
0,522.929362405,522.935637595,3
0,527.615434288,527.621765712,3
0,527.615434288,527.621765712,1
0,527.949732283,527.956067717,3
0,527.949732283,527.956067717,1
0,528.243330521,528.249669479,4
0,528.28343028,528.28976972,3
0,528.28343028,528.28976972,1
0,528.617928273,528.624271727,3
0,528.951126274,528.957473726,3
0,530.274718333,530.281081667,2
0,530.777715315,530.784084685,2
0,532.607304337,532.613695663,3
0,532.941702331,532.948097669,3
0,537.941472332,537.947927668,3
0,538.275970325,538.282429675,3
0,540.381857689,540.388342311,4
0,540.506956939,540.513443061,4
0,547.312816103,547.319383897,3
0,547.312816103,547.319383897,1
0,547.6467141,547.6532859,3
0,547.6467141,547.6532859,1
0,547.981112094,547.987687906,3
0,548.315910085,548.322489915,3
0,549.273104342,549.279695658,4
0,551.971188153,551.977811847,3
0,552.307486135,552.314113865,3
0,556.749059486,556.755740514,4
0,558.046551701,558.053248299,4
0,564.95501025,564.96178975,3
0,565.000809975,565.007590025,3
0,568.275990324,568.282809676,1
0,568.992586024,568.999413976,3
0,568.992586024,568.999413976,1
0,569.327984012,569.334815988,3
0,569.662682003,569.669517997,3
0,571.52497083,571.53182917,4
0,571.52497083,571.53182917,2
0,571.77486933,571.78173067,4
0,572.561664609,572.568535391,4
0,572.809463123,572.816336877,4
0,572.809463123,572.816336877,2
0,572.809463123,572.816336877,1
0,573.058961626,573.065838374,4
0,573.253360459,573.260239541,4
0,573.253360459,573.260239541,3
0,573.253360459,573.260239541,2
0,573.253360459,573.260239541,1
0,573.30996012,573.31683988,2
0,573.505758945,573.512641055,4
0,573.505758945,573.512641055,2
0,573.587758453,573.594641547,3
0,573.756657439,573.763542561,4
0,573.756657439,573.763542561,2
0,573.922556444,573.929443556,3
0,574.006955938,574.013844062,4
0,575.308048131,575.314951869,2
0,576.048743687,576.055656313,1
0,577.611434311,577.618365689,3
0,577.946632299,577.953567701,3
0,584.112095306,584.119104694,2
0,586.266682379,586.273717621,4
0,586.266682379,586.273717621,2
0,586.516180882,586.523219118,4
0,586.516180882,586.523219118,2
0,586.769079364,586.776120636,4
0,588.666767978,588.673832022,3
0,588.666767978,588.673832022,1
0,589.000765974,589.007834026,3
0,589.000765974,589.007834026,1
