ID	precursor number	monoisotopic m/z	charge	peak alpha	elution profile
194	141	816.1275	1	102337.091243	5491:12815.21,5510:24332.64,5529:38133.59,5548:0.0
195	141	816.1275	1	100394.910101	5377:13575.85,5396:40559.51,5415:19527.43,5434:17782.79,5453:14544.26
196	141	816.1275	1	85434.0657563	5073:8320.677,5092:23179.38,5111:24804.53,5130:11208.51
197	141	816.1275	1	75912.9046214	5282:16950.96,5301:37788.26,5320:28432.11,5339:23547.13,5358:15376.49,5377:13575.85
198	141	816.1275	1	60324.5044764	5206:23639.07,5225:23844.19,5244:21890.04,5263:24962.29,5282:16950.96
199	141	816.1275	1	41989.1405664	5434:17782.79,5453:14544.26,5472:24425.75,5491:12815.21
200	142	394.085	1	5.13327103491e-07	5491:65.80976,5510:2701.446,5529:0.0,5548:1894.047
201	143	395.12665	1	7228.48358363	5453:0.0,5472:3080.519,5491:0.0
202	144	415.03555	1	26663.1797014	5396:0.0,5415:14659.99,5434:11698.01
203	144	415.03555	1	24795.6840225	5529:9030.728,5548:12165.16,5567:0.0
204	145	455.1883	1	51338.0506702	5434:0.0,5453:26292.64,5472:23573.02,5491:14608.62
205	146	440.72165	2	17874.2908356	5396:0.0,5415:9575.536,5434:5986.945
206	146	440.72165	2	13397.7007794	5434:5986.945,5453:11690.89,5472:6954.255,5491:11351.15,5510:8013.339
207	147	393.08115	1	109818.555039	5510:17174.2,5529:28238.82,5548:19123.46,5567:17800.31
208	147	393.08115	1	108204.448999	5377:0.0,5396:25375.13,5415:17775.77,5434:16835.33,5453:8231.895
209	148	832.1444	1	100256.494295	5472:19090.55,5491:45151.63,5510:50766.18,5529:40444.24,5548:29857.27,5567:27996.35
210	148	832.1444	1	85537.7144597	5415:0.0,5434:42372.35,5453:37338.63,5472:19090.55
211	149	642.94695	3	16844.1055217	5510:8963.904,5529:8065.34,5548:6441.136
212	150	394.08295	4	14630.8828216	5453:0.0,5472:4545.622,5491:898.6958
213	150	394.08295	4	2.47935925124e-07	5529:0.0,5548:0.0,5567:289.9623
214	151	476.19715	1	19938.7068747	5491:8151.916,5510:9979.298,5529:10644.15,5548:12637.64,5567:9252.809
215	152	375.09495	1	2.89492163574e-09	5567:3317.93,5586:5112.579,5605:5845.542,5624:0.0
216	153	389.13205	1	12864.7385179	5548:3896.514,5567:4531.508,5586:4684.626,5605:1936.12
217	155	430.8874	1	46770.8477407	5548:53465.98,5567:41262.07,5586:41380.46
218	157	540.1604	1	2.47935925124e-07	5529:3910.587,5548:3545.186,5567:3942.502
219	158	607.20915	1	23064.6352003	5510:12307.08,5529:11736.87,5548:10734.36,5567:9537.391
220	159	624.2361	1	23683.5734313	5567:8368.777,5586:10767.93,5605:11930.09,5624:0.0
221	159	624.2361	1	22938.1029565	5434:12052.79,5453:12192.77,5472:13508.99,5491:8279.538
222	160	625.23795	1	9720.13001745	5548:5039.839,5567:3897.838,5586:3030.842
223	162	404.1485	1	37320.6206276	5567:24521.89,5586:19131.16,5605:17944.49,5624:12270.59
224	163	550.21685	1	23104.5628044	5586:8732.883,5605:11929.12,5624:11160.66
225	164	698.20165	1	27666.6477456	5567:8043.035,5586:15698.49,5605:14497.66,5624:15767.97
226	165	421.32775	2	47714.1061063	5510:0.0,5529:14906.15,5548:9707.953,5567:8584.527
