mzbin,feature,cluster,charge
508.91132650550003,90,32,3
508.6152,91,33,3
508.9496516665,91,33,3
510.624361035,91,33,3
508.6152,92,33,2
509.117215087,92,33,2
510.624361035,92,33,2
508.7831,93,33,3
509.117215087,93,33,3
510.624361035,94,33,3
510.9611248305,94,33,3
511.29524966250005,94,33,3
511.6297013295,94,33,3
510.624361035,95,33,1
511.6297013295,95,33,1
510.9611248305,96,33,3
511.29524966250005,96,33,3
511.6297013295,96,33,3
511.1044,97,34,1
512.107755,97,34,1
511.29524966250005,98,33,3
511.6297013295,98,33,3
513.298998995,98,33,3
512.7949,99,33,2
513.298998995,99,33,2
513.798214745,99,33,2
512.7949,100,33,1
513.798214745,100,33,1
513.298998995,101,33,2
513.798214745,101,33,2
515.7736,102,35,4
516.0241686245,102,35,4
516.2746872485,102,35,4
516.5255259985,102,35,4
516.775974496,102,35,4
517.026813246,102,35,4
517.277651996,102,35,4
515.7736,103,35,2
516.2746872485,103,35,2
516.775974496,103,35,2
517.277651996,103,35,2
515.7736,104,35,1
516.775974496,104,35,1
516.0241686245,105,35,4
516.2746872485,105,35,4
516.5255259985,105,35,4
516.775974496,105,35,4
517.026813246,105,35,4
517.277651996,105,35,4
516.0241686245,106,35,2
516.5255259985,106,35,2
517.026813246,106,35,2
516.0241686245,107,35,1
517.026813246,107,35,1
516.2746872485,108,35,4
516.5255259985,108,35,4
516.775974496,108,35,4
517.026813246,108,35,4
517.277651996,108,35,4
516.2746872485,109,35,2
516.775974496,109,35,2
517.277651996,109,35,2
516.2746872485,110,35,1
517.277651996,110,35,1
516.5255259985,111,35,4
516.775974496,111,35,4
517.026813246,111,35,4
517.277651996,111,35,4
516.5255259985,112,35,2
517.026813246,112,35,2
516.775974496,113,35,4
517.026813246,113,35,4
517.277651996,113,35,4
516.775974496,114,35,2
517.277651996,114,35,2
517.026813246,115,35,4
517.277651996,115,35,4
520.3307,116,36,1
521.334055,116,36,1
520.9553000000001,117,37,3
521.2897516665,117,37,3
522.5977,118,38,3
522.9323268375,118,38,3
523.2653650945001,118,38,3
522.5977,119,38,2
523.09796409,119,38,2
