mzbin,feature,cluster,scan
393.2083,36,4,2
394.20925,36,4,2
393.2083,37,4,2
394.20925,37,4,2
395.1167,37,4,2
396.11455,37,4,2
393.2083,38,4,2
394.20925,38,4,2
394.20925,39,4,2
395.1167,39,4,2
395.1167,40,4,2
396.11455,40,4,2
397.11455,40,4,2
396.11455,41,4,2
397.11455,41,4,2
399.3476,42,5,2
400.3476,42,5,2
401.3476,42,5,2
400.3476,43,5,2
401.3476,43,5,2
402.20345,44,6,2
403.2127,44,6,2
404.1726,44,6,2
405.1726,44,6,2
404.1726,45,6,2
405.1726,45,6,2
408.05455,46,7,2
409.0867,46,7,2
410.0867,46,7,2
409.0867,47,7,2
410.0867,47,7,2
413.26405,48,8,2
414.26405,48,8,2
415.03555,49,9,2
416.03555,49,9,2
419.3152,50,10,2
420.3163,50,10,2
421.3216,50,10,2
422.3216,50,10,2
420.3163,51,10,2
421.3216,51,10,2
422.3216,51,10,2
421.3216,52,10,2
422.3216,52,10,2
424.08295,53,11,2
425.08295,53,11,2
426.10155,53,11,2
425.08295,54,11,2
426.10155,54,11,2
428.90615,55,12,2
429.12415,55,12,2
430.14915,55,12,2
429.12415,56,12,2
430.14915,56,12,2
431.10775,56,12,2
432.10775,56,12,2
430.14915,57,12,2
431.10775,57,12,2
432.10775,57,12,2
433.1085,57,12,2
430.8874,58,12,2
431.10775,58,12,2
431.8874,58,12,2
432.10775,58,12,2
430.8874,59,12,2
431.8874,59,12,2
432.88715,59,12,2
431.10775,60,12,2
432.10775,60,12,2
433.1085,60,12,2
431.8874,61,12,2
432.10775,61,12,2
432.88715,61,12,2
433.1085,61,12,2
431.8874,62,12,2
432.88715,62,12,2
434.88715,62,12,2
432.10775,63,12,2
433.1085,63,12,2
432.88715,64,12,2
433.1085,64,12,2
440.72165,65,13,2
441.2526,65,13,2
445.1157,66,14,2
446.1371,66,14,2
447.1371,66,14,2
448.1158,66,14,2
445.9336,67,14,2
446.1371,67,14,2
