mzbin,feature,cluster,charge
507.452827011,129,19,4
507.7206401775,129,19,4
508.21878661899996,129,19,4
507.7206401775,130,19,2
508.21878661899996,130,19,2
508.21878661899996,131,19,1
507.452827011,132,19,4
507.7206401775,132,19,4
508.21878661899996,132,19,4
507.452827011,133,19,4
507.7206401775,133,19,4
508.21878661899996,133,19,4
507.452827011,134,19,4
507.7206401775,134,19,4
508.21878661899996,134,19,4
507.452827011,135,19,4
507.7206401775,135,19,4
508.21878661899996,135,19,4
507.452827011,136,19,4
507.7206401775,136,19,4
508.21878661899996,136,19,4
507.452827011,137,19,4
507.7206401775,137,19,4
508.21878661899996,137,19,4
507.452827011,138,19,4
507.7206401775,138,19,4
508.21878661899996,138,19,4
507.452827011,139,19,4
507.7206401775,139,19,4
508.21878661899996,139,19,4
507.452827011,140,19,3
507.7206401775,140,19,3
507.7206401775,141,19,4
508.21878661899996,141,19,4
507.7206401775,142,19,4
508.21878661899996,142,19,4
507.7206401775,143,19,4
508.21878661899996,143,19,4
507.7206401775,144,19,4
508.21878661899996,144,19,4
507.7206401775,145,19,2
508.21878661899996,145,19,2
507.7206401775,146,19,2
508.21878661899996,146,19,2
507.7206401775,147,19,2
508.21878661899996,147,19,2
507.7206401775,148,19,2
508.21878661899996,148,19,2
507.7206401775,149,19,2
508.21878661899996,149,19,2
507.7206401775,150,19,2
508.21878661899996,150,19,2
507.7206401775,151,19,2
508.21878661899996,151,19,2
507.7206401775,152,19,2
508.21878661899996,152,19,2
507.7206401775,153,19,2
508.21878661899996,153,19,2
507.7206401775,154,19,2
508.21878661899996,154,19,2
507.7206401775,155,19,2
508.21878661899996,155,19,2
521.138710381,156,20,1
522.142065381,156,20,1
520.138555362,157,20,1
521.138710381,157,20,1
522.142065381,157,20,1
520.138555362,158,20,1
521.138710381,158,20,1
522.142065381,158,20,1
520.138555362,159,20,1
521.138710381,159,20,1
522.142065381,159,20,1
520.138555362,160,20,1
521.138710381,160,20,1
522.142065381,160,20,1
519.1003000000001,161,20,1
520.138555362,161,20,1
521.138710381,161,20,1
522.142065381,161,20,1
519.1066000000001,162,20,1
520.138555362,162,20,1
521.138710381,162,20,1
522.142065381,162,20,1
519.113,163,20,1
520.138555362,163,20,1
521.138710381,163,20,1
522.142065381,163,20,1
519.1193000000001,164,20,1
520.138555362,164,20,1
521.138710381,164,20,1
522.142065381,164,20,1
519.1257,165,20,1
520.138555362,165,20,1
521.138710381,165,20,1
522.142065381,165,20,1
519.1320000000001,166,20,1
520.138555362,166,20,1
521.138710381,166,20,1
522.142065381,166,20,1
519.1384,167,20,1
520.138555362,167,20,1
521.138710381,167,20,1
522.142065381,167,20,1
519.1447000000001,168,20,1
520.138555362,168,20,1
521.138710381,168,20,1
522.142065381,168,20,1
519.1511,169,20,1
520.138555362,169,20,1
521.138710381,169,20,1
522.142065381,169,20,1
519.1574,170,20,1
520.138555362,170,20,1
521.138710381,170,20,1
522.142065381,170,20,1
519.1638,171,20,1
520.138555362,171,20,1
521.138710381,171,20,1
522.142065381,171,20,1
519.1701,172,20,1
520.138555362,172,20,1
521.138710381,172,20,1
522.142065381,172,20,1
519.1765,173,20,1
520.138555362,173,20,1
521.138710381,173,20,1
522.142065381,173,20,1
520.138555362,174,20,1
521.138710381,174,20,1
